Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,231,United States of America,110,Japan,5910,Export Quantity,15,Wheat,tonnes,3104120.07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,138,Mexico,5910,Export Quantity,15,Wheat,tonnes,2357475.44,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,59,Egypt,5910,Export Quantity,15,Wheat,tonnes,2278194.63,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,159,Nigeria,5910,Export Quantity,15,Wheat,tonnes,1898158.3,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,171,Philippines,5910,Export Quantity,15,Wheat,tonnes,1881650.19,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,117,Republic of Korea,5910,Export Quantity,15,Wheat,tonnes,1397857.7,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,214,"China, Taiwan Province of",5910,Export Quantity,15,Wheat,tonnes,969799.22,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,41,"China, mainland",5910,Export Quantity,15,Wheat,tonnes,959340.3,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,102,Iran (Islamic Republic of),5910,Export Quantity,15,Wheat,tonnes,733321.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,252,Unspecified Area,5910,Export Quantity,15,Wheat,tonnes,715198.84,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,103,Iraq,5910,Export Quantity,15,Wheat,tonnes,659506.39,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,44,Colombia,5910,Export Quantity,15,Wheat,tonnes,616429.52,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,236,Venezuela (Bolivarian Republic of),5910,Export Quantity,15,Wheat,tonnes,591892.22,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,101,Indonesia,5910,Export Quantity,15,Wheat,tonnes,565754.11,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,249,Yemen,5910,Export Quantity,15,Wheat,tonnes,545986.63,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,106,Italy,5910,Export Quantity,15,Wheat,tonnes,544955.41,A,"Aggregate, may include official, semi-official, estimated or calculated data"
